id_local,descripcion,estado,fecha_alta,fecha_baja,fecha_ultima_modificacion,id_planta,descripcion_numerica,cod_sector,id_mostrador,cod_dominio,id_usuario,id_sector
2150,Consultorio 9,A,2018-05-24 15:00:40,,2018-05-24 15:00:40,2141,,,,2.16.840.1.113883.2.10.27,1,
2151,Consultorio 10,A,2018-05-24 15:01:05,,2018-05-24 15:01:05,2141,,,,2.16.840.1.113883.2.10.27,1,
2152,Consultorio 11,A,2018-05-24 15:01:47,,2018-05-24 15:01:47,2141,,,,2.16.840.1.113883.2.10.27,1,
2153,Consultorio 12,A,2018-05-24 15:02:19,,2018-05-24 15:02:19,2141,,,,2.16.840.1.113883.2.10.27,1,
2154,Consultorio 13,A,2018-05-24 15:03:23,,2018-05-24 15:03:23,2141,,,,2.16.840.1.113883.2.10.27,1,
2155,Consultorio 14,A,2018-05-24 15:03:49,,2018-05-24 15:03:49,2141,,,,2.16.840.1.113883.2.10.27,1,
2156,Consultorio 14,A,2018-05-24 15:04:30,,2018-05-24 15:04:30,2141,,,,2.16.840.1.113883.2.10.27,1,
2157,Consultorio 15,A,2018-05-24 15:06:39,,2018-05-24 15:06:39,2141,,,,2.16.840.1.113883.2.10.27,1,
2158,Consultorio 16,A,2018-05-24 15:07:27,,2018-05-24 15:07:27,2141,,,,2.16.840.1.113883.2.10.27,1,
2159,Consultorio 17,A,2018-05-24 15:07:51,,2018-05-24 15:07:51,2141,,,,2.16.840.1.113883.2.10.27,1,
2160,Consultorio 18,A,2018-05-24 15:08:36,,2018-05-24 15:08:36,2141,,,,2.16.840.1.113883.2.10.27,1,
2161,Consultorio 19,A,2018-05-24 15:09:07,,2018-05-24 15:09:07,2141,,,,2.16.840.1.113883.2.10.27,1,
2162,Consultorio 20,A,2018-05-24 15:09:35,,2018-05-24 15:09:35,2141,,,,2.16.840.1.113883.2.10.27,1,
2163,Consultorio 21,A,2018-05-24 15:10:11,,2018-05-24 15:10:11,2141,,,,2.16.840.1.113883.2.10.27,1,
2164,Consultorio 22,A,2018-05-24 15:10:34,,2018-05-24 15:10:34,2141,,,,2.16.840.1.113883.2.10.27,1,
2165,Consultorio 23,A,2018-05-24 15:10:52,,2018-05-24 15:10:52,2141,,,,2.16.840.1.113883.2.10.27,1,
2166,Consultorio 24,A,2018-05-24 15:11:29,,2018-05-24 15:11:29,2141,,,,2.16.840.1.113883.2.10.27,1,
2167,Consultorio 25,A,2018-05-24 15:11:58,,2018-05-24 15:11:58,2141,,,,2.16.840.1.113883.2.10.27,1,
2168,Consultorio 26,A,2018-05-24 15:12:47,,2018-05-24 15:12:47,2141,,,,2.16.840.1.113883.2.10.27,1,
2169,Consultorio 27,A,2018-05-24 15:13:14,,2018-05-24 15:13:14,2141,,,,2.16.840.1.113883.2.10.27,1,
2170,Consultorio 28,A,2018-05-28 14:13:39,,2018-05-28 14:13:39,2141,,,,2.16.840.1.113883.2.10.27,1,
2171,Consultorio 29,A,2018-05-28 14:14:03,,2018-05-28 14:14:03,2141,,,,2.16.840.1.113883.2.10.27,1,
2172,Consultorio 30,A,2018-05-28 14:15:03,,2018-05-28 14:15:03,2141,,,,2.16.840.1.113883.2.10.27,1,
2173,Consultorio 31,A,2018-05-28 14:15:31,,2018-05-28 14:15:31,2141,,,,2.16.840.1.113883.2.10.27,1,
2174,Consultorio 32,A,2018-05-28 14:15:51,,2018-05-28 14:15:51,2141,,,,2.16.840.1.113883.2.10.27,1,
2175,Consultorio 33,A,2018-05-28 14:16:15,,2018-05-28 14:16:15,2141,,,,2.16.840.1.113883.2.10.27,1,
2176,Consultorio 34,A,2018-05-28 14:16:50,,2018-05-28 14:16:50,2141,,,,2.16.840.1.113883.2.10.27,1,
2177,Consultorio 35,A,2018-05-28 14:18:01,,2018-05-28 14:18:01,2141,,,,2.16.840.1.113883.2.10.27,1,
2178,Consultorio 36,A,2018-05-28 14:18:37,,2018-05-28 14:18:37,2141,,,,2.16.840.1.113883.2.10.27,1,
2179,Consultorio 37,A,2018-05-28 14:19:02,,2018-05-28 14:19:02,2141,,,,2.16.840.1.113883.2.10.27,1,
2180,Consultorio 38,A,2018-05-28 14:23:25,,2018-05-28 14:23:25,2141,,,,2.16.840.1.113883.2.10.27,1,
2181,Consultorio 39,A,2018-05-28 14:23:55,,2018-05-28 14:23:55,2141,,,,2.16.840.1.113883.2.10.27,1,
2182,Consultorio 40,A,2018-05-28 14:25:44,,2018-05-28 14:26:21,2141,,,,2.16.840.1.113883.2.10.27,1,
2183,Consultorio 41,A,2018-05-28 14:28:07,,2018-05-28 14:28:07,2141,,,,2.16.840.1.113883.2.10.27,1,
2184,Consultorio 42,A,2018-05-28 14:29:29,,2018-05-28 14:29:29,2141,,,,2.16.840.1.113883.2.10.27,1,
2185,Consultorio 43,A,2018-05-28 14:30:02,,2018-05-28 14:30:02,2141,,,,2.16.840.1.113883.2.10.27,1,
2186,Consultorio 44,A,2018-05-28 14:30:35,,2018-05-28 14:30:35,2141,,,,2.16.840.1.113883.2.10.27,1,
2187,Consultorio 45,A,2018-05-28 14:31:21,,2018-05-28 14:31:21,2141,,,,2.16.840.1.113883.2.10.27,1,
2188,Consultorio 46,A,2018-05-28 14:32:31,,2018-05-28 14:32:31,2141,,,,2.16.840.1.113883.2.10.27,1,
2189,Consultorio 47,A,2018-05-28 14:37:46,,2018-05-28 14:37:46,2141,,,,2.16.840.1.113883.2.10.27,1,
2190,Consultorio 48,A,2018-05-28 14:40:43,,2018-05-28 14:40:43,2141,,,,2.16.840.1.113883.2.10.27,1,
2191,Consultorio 49,A,2018-05-28 14:41:09,,2018-05-28 14:41:09,2141,,,,2.16.840.1.113883.2.10.27,1,
2192,Consultorio 50,A,2018-05-28 14:41:45,,2018-05-28 14:41:45,2141,,,,2.16.840.1.113883.2.10.27,1,
2193,Consultorio 51,A,2018-05-28 14:42:14,,2018-05-28 14:42:14,2141,,,,2.16.840.1.113883.2.10.27,1,
2194,Consultorio 52,A,2018-05-28 14:42:40,,2018-05-28 14:42:40,2141,,,,2.16.840.1.113883.2.10.27,1,
2195,Consultorio 53,A,2018-05-28 14:43:01,,2018-05-28 14:43:01,2141,,,,2.16.840.1.113883.2.10.27,1,
2196,Consultorio 54,A,2018-05-28 14:43:27,,2018-05-28 14:43:27,2141,,,,2.16.840.1.113883.2.10.27,1,
2197,Consultorio 55,A,2018-05-28 14:43:55,,2018-05-28 14:43:55,2141,,,,2.16.840.1.113883.2.10.27,1,
2198,Consultorio 56,A,2018-05-28 14:44:24,,2018-05-28 14:44:24,2141,,,,2.16.840.1.113883.2.10.27,1,
2199,Consultorio 57,A,2018-05-28 14:47:18,,2018-05-28 14:47:18,2141,,,,2.16.840.1.113883.2.10.27,1,
2200,Consultorio 58,A,2018-05-28 14:47:46,,2018-05-28 14:47:46,2141,,,,2.16.840.1.113883.2.10.27,1,
2203,Consultorio 59,A,2018-05-28 14:51:54,,2018-05-28 14:51:54,2141,,,,2.16.840.1.113883.2.10.27,1,
2204,Consultorio 60,A,2018-05-28 14:52:25,,2018-05-28 14:52:25,2141,,,,2.16.840.1.113883.2.10.27,1,
2480,Consultorio 53,A,2018-05-31 14:56:10,,2018-09-27 18:51:32,2141,,,,2.16.840.1.113883.2.10.27,1,
2481,Consultorio 54,A,2018-05-31 14:57:16,,2018-09-27 18:51:32,2141,,,,2.16.840.1.113883.2.10.27,1,
2482,Consultorio 55,A,2018-05-31 14:57:58,,2018-09-27 18:51:32,2141,,,,2.16.840.1.113883.2.10.27,1,
2483,Consultorio 56,A,2018-05-31 15:08:13,,2018-09-27 18:51:32,2141,,,,2.16.840.1.113883.2.10.27,1,
2484,Consultorio 57,A,2018-05-31 15:09:23,,2018-09-27 18:51:32,2141,,,,2.16.840.1.113883.2.10.27,1,
2485,Consultorio 58,A,2018-05-31 15:10:05,,2018-09-27 18:51:32,2141,,,,2.16.840.1.113883.2.10.27,1,
2486,Consultorio 59,A,2018-05-31 15:10:46,,2018-05-31 15:12:23,2141,,,,2.16.840.1.113883.2.10.27,1,
2487,Consultorio 60,A,2018-05-31 15:11:57,,2018-05-31 15:11:57,2141,,,,2.16.840.1.113883.2.10.27,1,
2206,consultorio 9,A,2018-05-28 15:03:51,,2018-05-28 15:07:01,2205,,,,2.16.840.1.113883.2.10.27,1,
2207,consultorio 1,A,2018-05-28 15:04:50,,2018-05-28 15:06:07,2205,,,,2.16.840.1.113883.2.10.27,1,
2208,consultorio 2,A,2018-05-28 15:05:29,,2018-05-28 15:07:54,2205,,,,2.16.840.1.113883.2.10.27,1,
2209,consultorio 4,A,2018-05-28 15:13:32,,2018-05-28 15:13:32,2205,,,,2.16.840.1.113883.2.10.27,1,
2210,consultorio 5,A,2018-05-28 15:16:31,,2018-05-28 15:16:31,2205,,,,2.16.840.1.113883.2.10.27,1,
2211,consultorio 10,A,2018-05-28 15:18:59,,2018-05-28 15:18:59,2205,,,,2.16.840.1.113883.2.10.27,1,
2212,consultorio 11,A,2018-05-28 15:20:20,,2018-05-28 15:20:20,2205,,,,2.16.840.1.113883.2.10.27,1,
2213,consultorio 12,A,2018-05-28 15:21:59,,2018-05-28 15:21:59,2205,,,,2.16.840.1.113883.2.10.27,1,
2214,consultorio 13,A,2018-05-28 15:22:55,,2018-05-28 15:22:55,2205,,,,2.16.840.1.113883.2.10.27,1,
2215,consultorio 14,A,2018-05-28 15:25:04,,2018-05-28 15:25:04,2205,,,,2.16.840.1.113883.2.10.27,1,
2216,consultorio 6,A,2018-05-28 15:25:37,,2018-05-28 15:25:37,2205,,,,2.16.840.1.113883.2.10.27,1,
2217,consultorio 7,A,2018-05-28 15:27:31,,2018-05-28 15:27:31,2205,,,,2.16.840.1.113883.2.10.27,1,
2218,consultorio 8,A,2018-05-28 15:28:07,,2018-05-28 15:28:07,2205,,,,2.16.840.1.113883.2.10.27,1,
2219,consultorio 18,A,2018-05-28 15:28:47,,2018-05-28 15:28:47,2205,,,,2.16.840.1.113883.2.10.27,1,
2220,consultorio 38,A,2018-05-28 15:30:14,,2018-05-28 15:30:14,2205,,,,2.16.840.1.113883.2.10.27,1,
2221,consultorio 39,A,2018-05-28 15:32:09,,2018-05-28 15:32:09,2205,,,,2.16.840.1.113883.2.10.27,1,
2222,consultorio 37,A,2018-05-28 15:32:56,,2018-05-28 15:32:56,2205,,,,2.16.840.1.113883.2.10.27,1,
2223,consultorio 27,A,2018-05-28 15:33:55,,2018-05-28 15:33:55,2205,,,,2.16.840.1.113883.2.10.27,1,
2224,consultorio 34,A,2018-05-28 15:54:16,,2018-05-28 15:54:16,2205,,,,2.16.840.1.113883.2.10.27,1,
2225,consultorio 33,A,2018-05-28 15:54:58,,2018-05-28 15:54:58,2205,,,,2.16.840.1.113883.2.10.27,1,
2226,consultorio 30,A,2018-05-28 15:57:11,,2018-05-28 15:57:11,2205,,,,2.16.840.1.113883.2.10.27,1,
2227,consultorio 21,A,2018-05-28 16:00:41,,2018-05-28 16:00:41,2205,,,,2.16.840.1.113883.2.10.27,1,
2228,consultorio 20,A,2018-05-28 16:01:31,,2018-05-28 16:01:31,2205,,,,2.16.840.1.113883.2.10.27,1,
2229,consultorio 19,A,2018-05-28 16:02:45,,2018-05-28 16:02:45,2205,,,,2.16.840.1.113883.2.10.27,1,
2230,consultorio 28,A,2018-05-28 16:03:31,,2018-05-28 16:03:31,2205,,,,2.16.840.1.113883.2.10.27,1,
8070,Guardia Habitación 1,A,2020-05-05 12:55:38,,2023-09-28 16:55:46,495,1.0,2.0,,2.16.840.1.113883.2.10.27,11,
8074,Guardia Habitación 2,A,2020-05-05 12:55:38,,2023-09-28 16:55:43,495,2.0,2.0,,2.16.840.1.113883.2.10.27,11,
8077,Shock Room,A,2020-05-05 12:55:38,,2023-09-28 16:55:48,495,3.0,2.0,,2.16.840.1.113883.2.10.27,11,
2318,Consultorio 1,A,2018-05-29 17:27:41,,2018-09-27 18:51:33,2263,,,,2.16.840.1.113883.2.10.27,1,
2319,Consultorio 2,A,2018-05-29 17:28:08,,2018-09-27 18:51:33,2263,,,,2.16.840.1.113883.2.10.27,1,
2320,Consultorio 3,A,2018-05-29 17:28:37,,2018-09-27 18:51:33,2263,,,,2.16.840.1.113883.2.10.27,1,
