id_local,descripcion,estado,fecha_alta,fecha_baja,fecha_ultima_modificacion,id_planta,descripcion_numerica,cod_sector,id_mostrador,cod_dominio,id_usuario,id_sector,ambito
2150,Consultorio 9,A,2018-05-24 15:00:40,,2018-05-24 15:00:40,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2151,Consultorio 10,A,2018-05-24 15:01:05,,2018-05-24 15:01:05,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2152,Consultorio 11,A,2018-05-24 15:01:47,,2018-05-24 15:01:47,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2153,Consultorio 12,A,2018-05-24 15:02:19,,2018-05-24 15:02:19,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2154,Consultorio 13,A,2018-05-24 15:03:23,,2018-05-24 15:03:23,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2155,Consultorio 14,A,2018-05-24 15:03:49,,2018-05-24 15:03:49,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2156,Consultorio 14,A,2018-05-24 15:04:30,,2018-05-24 15:04:30,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2157,Consultorio 15,A,2018-05-24 15:06:39,,2018-05-24 15:06:39,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2158,Consultorio 16,A,2018-05-24 15:07:27,,2018-05-24 15:07:27,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2159,Consultorio 17,A,2018-05-24 15:07:51,,2018-05-24 15:07:51,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2160,Consultorio 18,A,2018-05-24 15:08:36,,2018-05-24 15:08:36,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2161,Consultorio 19,A,2018-05-24 15:09:07,,2018-05-24 15:09:07,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2162,Consultorio 20,A,2018-05-24 15:09:35,,2018-05-24 15:09:35,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2163,Consultorio 21,A,2018-05-24 15:10:11,,2018-05-24 15:10:11,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2164,Consultorio 22,A,2018-05-24 15:10:34,,2018-05-24 15:10:34,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2165,Consultorio 23,A,2018-05-24 15:10:52,,2018-05-24 15:10:52,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2166,Consultorio 24,A,2018-05-24 15:11:29,,2018-05-24 15:11:29,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2167,Consultorio 25,A,2018-05-24 15:11:58,,2018-05-24 15:11:58,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2168,Consultorio 26,A,2018-05-24 15:12:47,,2018-05-24 15:12:47,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2169,Consultorio 27,A,2018-05-24 15:13:14,,2018-05-24 15:13:14,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2170,Consultorio 28,A,2018-05-28 14:13:39,,2018-05-28 14:13:39,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2171,Consultorio 29,A,2018-05-28 14:14:03,,2018-05-28 14:14:03,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2172,Consultorio 30,A,2018-05-28 14:15:03,,2018-05-28 14:15:03,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2173,Consultorio 31,A,2018-05-28 14:15:31,,2018-05-28 14:15:31,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
